CustomerAlternateKey	MaritalStatus	Gender	YearlyIncome	TotalChildren	NumberChildrenAtHome	Education	Occupation	HouseOwnerFlag	NumberCarsOwned	CommuteDistance	Region	Age	BikeBuyer
AW00011000	M	M	90000.00	2	0	Bachelors	Professional	1	0	1-2 Miles	Pacific	52	1
AW00011001	S	M	60000.00	3	3	Bachelors	Professional	0	1	0-1 Miles	Pacific	53	1
AW00011002	M	M	60000.00	3	3	Bachelors	Professional	1	1	2-5 Miles	Pacific	53	1
AW00011003	S	F	70000.00	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	50	1
AW00011004	S	F	80000.00	5	5	Bachelors	Professional	1	4	1-2 Miles	Pacific	50	1
AW00011005	S	M	70000.00	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	53	1
AW00011006	S	F	70000.00	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	52	1
AW00011007	M	M	60000.00	3	3	Bachelors	Professional	1	2	0-1 Miles	Pacific	54	1
AW00011008	S	F	60000.00	4	4	Bachelors	Professional	1	3	10+ Miles	Pacific	54	1
AW00011009	S	M	70000.00	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54	1
AW00011010	S	F	70000.00	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54	1
AW00011011	M	M	60000.00	4	4	Bachelors	Professional	1	4	10+ Miles	Pacific	55	1
AW00011012	M	F	100000.00	2	0	Bachelors	Management	1	2	1-2 Miles	North America	50	0
AW00011013	M	M	100000.00	2	0	Bachelors	Management	1	3	0-1 Miles	North America	50	0
AW00011014	S	F	100000.00	3	0	Bachelors	Management	0	3	1-2 Miles	North America	50	0
AW00011015	S	F	30000.00	0	0	Partial College	Skilled Manual	0	1	5-10 Miles	North America	39	1
AW00011016	M	M	30000.00	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	39	1
AW00011017	S	F	20000.00	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	74	1
AW00011018	S	M	30000.00	2	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	74	1
AW00011019	S	M	40000.00	0	0	High School	Skilled Manual	0	2	5-10 Miles	North America	40	0
AW00011020	S	M	40000.00	0	0	High School	Skilled Manual	0	2	1-2 Miles	North America	40	1
AW00011021	S	F	40000.00	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	40	1
AW00011022	M	M	40000.00	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	40	1
AW00011023	M	M	40000.00	0	0	Partial College	Skilled Manual	1	1	1-2 Miles	North America	40	0
AW00011024	M	M	60000.00	0	0	Partial College	Skilled Manual	1	2	5-10 Miles	North America	40	0
AW00011025	M	M	10000.00	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	72	1
AW00011026	S	M	30000.00	2	0	Partial College	Clerical	0	2	1-2 Miles	Pacific	72	1
AW00011027	M	M	30000.00	2	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	71	1
AW00011028	M	F	30000.00	2	0	Partial College	Clerical	1	2	1-2 Miles	Pacific	72	1
AW00011029	M	M	30000.00	2	0	Partial College	Clerical	1	2	1-2 Miles	Pacific	71	1
AW00011030	M	F	10000.00	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	71	1
AW00011031	M	F	20000.00	4	0	High School	Skilled Manual	1	2	1-2 Miles	Pacific	71	1
AW00011032	M	F	20000.00	4	0	High School	Skilled Manual	1	2	1-2 Miles	Pacific	71	1
AW00011033	M	M	20000.00	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	71	1
AW00011034	M	F	20000.00	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	71	1
AW00011035	M	F	10000.00	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	70	1
AW00011036	M	F	60000.00	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	39	1
AW00011037	S	F	40000.00	0	0	Partial High School	Clerical	0	2	5-10 Miles	North America	40	1
AW00011038	M	F	10000.00	2	1	Partial High School	Clerical	1	2	5-10 Miles	Pacific	70	1
AW00011039	M	M	30000.00	3	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	69	1
AW00011040	M	M	30000.00	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	41	1
AW00011041	M	F	60000.00	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	41	1
